Ref_Date,GEO,Vector,Coordinate,Value
1983,Canada,v812679,1,121.10
1984,Canada,v812679,1,121.80
1985,Canada,v812679,1,127.80
1986,Canada,v812679,1,133.60
1987,Canada,v812679,1,146.80
1988,Canada,v812679,1,149.30
1989,Canada,v812679,1,174.40
1990,Canada,v812679,1,190.20
1991,Canada,v812679,1,180.80
1992,Canada,v812679,1,177.90
1993,Canada,v812679,1,191.40
1994,Canada,v812679,1,199.70
1995,Canada,v812679,1,195.70
1996,Canada,v812679,1,177.00
1997,Canada,v812679,1,182.10
1998,Canada,v812679,1,192.70
1999,Canada,v812679,1,209.30
2000,Canada,v812679,1,223.50
2001,Canada,v812679,1,208.10
2002,Canada,v812679,1,212.60
2003,Canada,v812679,1,185.10
2004,Canada,v812679,1,180.70
2005,Canada,v812679,1,191.40
2006,Canada,v812679,1,192.00
2007,Canada,v812679,1,190.00
2008,Canada,v812679,1,196.30
2009,Canada,v812679,1,173.00
2010,Canada,v812679,1,182.50
2011,Canada,v812679,1,190.70
2012,Canada,v812679,1,192.20
2013,Canada,v812679,1,190.80
2014,Canada,v812679,1,184.90
2015,Canada,v812679,1,176.70
1983,Halifax,v812689,2,112.00
1984,Halifax,v812689,2,109.10
1985,Halifax,v812689,2,113.70
1986,Halifax,v812689,2,121.90
1987,Halifax,v812689,2,133.50
1988,Halifax,v812689,2,141.80
1989,Halifax,v812689,2,163.70
1990,Halifax,v812689,2,173.40
1991,Halifax,v812689,2,176.00
1992,Halifax,v812689,2,169.80
1993,Halifax,v812689,2,183.60
1994,Halifax,v812689,2,188.20
1995,Halifax,v812689,2,187.80
1996,Halifax,v812689,2,188.10
1997,Halifax,v812689,2,196.40
1998,Halifax,v812689,2,196.70
1999,Halifax,v812689,2,216.00
2000,Halifax,v812689,2,228.70
2001,Halifax,v812689,2,x
2002,Halifax,v812689,2,208.00
2003,Halifax,v812689,2,170.40
2004,Halifax,v812689,2,165.70
2005,Halifax,v812689,2,183.50
2006,Halifax,v812689,2,183.10
2007,Halifax,v812689,2,188.50
2008,Halifax,v812689,2,197.20
2009,Halifax,v812689,2,170.80
2010,Halifax,v812689,2,172.00
2011,Halifax,v812689,2,179.30
2012,Halifax,v812689,2,185.90
2013,Halifax,v812689,2,185.80
2014,Halifax,v812689,2,176.30
2015,Halifax,v812689,2,175.10
1983,Montréal,v812688,3,111.60
1984,Montréal,v812688,3,110.20
1985,Montréal,v812688,3,115.80
1986,Montréal,v812688,3,119.00
1987,Montréal,v812688,3,124.70
1988,Montréal,v812688,3,129.00
1989,Montréal,v812688,3,153.80
1990,Montréal,v812688,3,158.40
1991,Montréal,v812688,3,173.40
1992,Montréal,v812688,3,175.00
1993,Montréal,v812688,3,172.60
1994,Montréal,v812688,3,187.90
1995,Montréal,v812688,3,184.80
1996,Montréal,v812688,3,175.70
1997,Montréal,v812688,3,182.10
1998,Montréal,v812688,3,194.70
1999,Montréal,v812688,3,209.40
2000,Montréal,v812688,3,235.80
2001,Montréal,v812688,3,x
2002,Montréal,v812688,3,229.50
2003,Montréal,v812688,3,205.90
2004,Montréal,v812688,3,184.20
2005,Montréal,v812688,3,201.40
2006,Montréal,v812688,3,205.20
2007,Montréal,v812688,3,195.00
2008,Montréal,v812688,3,194.30
2009,Montréal,v812688,3,177.80
2010,Montréal,v812688,3,191.10
2011,Montréal,v812688,3,194.10
2012,Montréal,v812688,3,188.50
2013,Montréal,v812688,3,181.70
2014,Montréal,v812688,3,175.50
2015,Montréal,v812688,3,171.40
1983,Ottawa,v812687,4,109.90
1984,Ottawa,v812687,4,108.80
1985,Ottawa,v812687,4,113.80
1986,Ottawa,v812687,4,118.90
1987,Ottawa,v812687,4,131.90
1988,Ottawa,v812687,4,132.50
1989,Ottawa,v812687,4,152.90
1990,Ottawa,v812687,4,164.90
1991,Ottawa,v812687,4,172.60
1992,Ottawa,v812687,4,173.90
1993,Ottawa,v812687,4,184.60
1994,Ottawa,v812687,4,202.40
1995,Ottawa,v812687,4,199.00
1996,Ottawa,v812687,4,186.50
1997,Ottawa,v812687,4,179.50
1998,Ottawa,v812687,4,209.60
1999,Ottawa,v812687,4,229.50
2000,Ottawa,v812687,4,257.50
2001,Ottawa,v812687,4,x
2002,Ottawa,v812687,4,240.20
2003,Ottawa,v812687,4,212.30
2004,Ottawa,v812687,4,189.10
2005,Ottawa,v812687,4,198.80
2006,Ottawa,v812687,4,205.20
2007,Ottawa,v812687,4,200.00
2008,Ottawa,v812687,4,205.80
2009,Ottawa,v812687,4,189.30
2010,Ottawa,v812687,4,196.00
2011,Ottawa,v812687,4,194.80
2012,Ottawa,v812687,4,192.20
2013,Ottawa,v812687,4,178.60
2014,Ottawa,v812687,4,170.50
2015,Ottawa,v812687,4,164.30
1983,Toronto,v812686,5,136.20
1984,Toronto,v812686,5,136.70
1985,Toronto,v812686,5,145.10
1986,Toronto,v812686,5,148.80
1987,Toronto,v812686,5,162.10
1988,Toronto,v812686,5,159.90
1989,Toronto,v812686,5,183.20
1990,Toronto,v812686,5,198.30
1991,Toronto,v812686,5,203.60
1992,Toronto,v812686,5,198.60
1993,Toronto,v812686,5,206.50
1994,Toronto,v812686,5,218.70
1995,Toronto,v812686,5,215.60
1996,Toronto,v812686,5,203.90
1997,Toronto,v812686,5,210.40
1998,Toronto,v812686,5,224.80
1999,Toronto,v812686,5,244.40
2000,Toronto,v812686,5,263.30
2001,Toronto,v812686,5,x
2002,Toronto,v812686,5,256.80
2003,Toronto,v812686,5,221.00
2004,Toronto,v812686,5,210.90
2005,Toronto,v812686,5,222.00
2006,Toronto,v812686,5,223.60
2007,Toronto,v812686,5,217.60
2008,Toronto,v812686,5,219.80
2009,Toronto,v812686,5,194.40
2010,Toronto,v812686,5,205.20
2011,Toronto,v812686,5,214.90
2012,Toronto,v812686,5,214.90
2013,Toronto,v812686,5,214.40
2014,Toronto,v812686,5,208.80
2015,Toronto,v812686,5,201.70
1983,Winnipeg,v812685,6,134.20
1984,Winnipeg,v812685,6,136.50
1985,Winnipeg,v812685,6,142.40
1986,Winnipeg,v812685,6,145.30
1987,Winnipeg,v812685,6,157.40
1988,Winnipeg,v812685,6,153.20
1989,Winnipeg,v812685,6,176.30
1990,Winnipeg,v812685,6,197.70
1991,Winnipeg,v812685,6,200.50
1992,Winnipeg,v812685,6,193.90
1993,Winnipeg,v812685,6,213.10
1994,Winnipeg,v812685,6,219.20
1995,Winnipeg,v812685,6,209.90
1996,Winnipeg,v812685,6,187.40
1997,Winnipeg,v812685,6,191.00
1998,Winnipeg,v812685,6,214.10
1999,Winnipeg,v812685,6,220.80
2000,Winnipeg,v812685,6,221.10
2001,Winnipeg,v812685,6,201.80
2002,Winnipeg,v812685,6,206.70
2003,Winnipeg,v812685,6,183.10
2004,Winnipeg,v812685,6,176.10
2005,Winnipeg,v812685,6,177.90
2006,Winnipeg,v812685,6,180.40
2007,Winnipeg,v812685,6,184.00
2008,Winnipeg,v812685,6,191.50
2009,Winnipeg,v812685,6,169.90
2010,Winnipeg,v812685,6,181.00
2011,Winnipeg,v812685,6,189.40
2012,Winnipeg,v812685,6,191.70
2013,Winnipeg,v812685,6,201.30
2014,Winnipeg,v812685,6,190.70
2015,Winnipeg,v812685,6,182.70
1983,Saskatoon,v812684,7,125.20
1984,Saskatoon,v812684,7,122.00
1985,Saskatoon,v812684,7,133.40
1986,Saskatoon,v812684,7,136.70
1987,Saskatoon,v812684,7,142.20
1988,Saskatoon,v812684,7,140.90
1989,Saskatoon,v812684,7,166.40
1990,Saskatoon,v812684,7,175.60
1991,Saskatoon,v812684,7,169.30
1992,Saskatoon,v812684,7,162.60
1993,Saskatoon,v812684,7,177.00
1994,Saskatoon,v812684,7,183.40
1995,Saskatoon,v812684,7,182.40
1996,Saskatoon,v812684,7,161.60
1997,Saskatoon,v812684,7,152.20
1998,Saskatoon,v812684,7,161.60
1999,Saskatoon,v812684,7,173.80
2000,Saskatoon,v812684,7,190.00
2001,Saskatoon,v812684,7,186.20
2002,Saskatoon,v812684,7,181.70
2003,Saskatoon,v812684,7,162.70
2004,Saskatoon,v812684,7,163.50
2005,Saskatoon,v812684,7,168.20
2006,Saskatoon,v812684,7,x
2007,Saskatoon,v812684,7,x
2008,Saskatoon,v812684,7,184.00
2009,Saskatoon,v812684,7,160.50
2010,Saskatoon,v812684,7,170.20
2011,Saskatoon,v812684,7,178.80
2012,Saskatoon,v812684,7,190.10
2013,Saskatoon,v812684,7,180.40
2014,Saskatoon,v812684,7,167.10
2015,Saskatoon,v812684,7,156.20
1983,Regina,v812683,8,122.10
1984,Regina,v812683,8,126.00
1985,Regina,v812683,8,137.10
1986,Regina,v812683,8,139.00
1987,Regina,v812683,8,147.90
1988,Regina,v812683,8,146.80
1989,Regina,v812683,8,170.10
1990,Regina,v812683,8,180.50
1991,Regina,v812683,8,174.50
1992,Regina,v812683,8,167.20
1993,Regina,v812683,8,186.20
1994,Regina,v812683,8,194.40
1995,Regina,v812683,8,183.40
1996,Regina,v812683,8,162.00
1997,Regina,v812683,8,158.30
1998,Regina,v812683,8,168.50
1999,Regina,v812683,8,184.30
2000,Regina,v812683,8,199.10
2001,Regina,v812683,8,189.30
2002,Regina,v812683,8,185.60
2003,Regina,v812683,8,167.40
2004,Regina,v812683,8,160.30
2005,Regina,v812683,8,168.00
2006,Regina,v812683,8,x
2007,Regina,v812683,8,x
2008,Regina,v812683,8,x
2009,Regina,v812683,8,160.00
2010,Regina,v812683,8,168.10
2011,Regina,v812683,8,177.80
2012,Regina,v812683,8,182.80
2013,Regina,v812683,8,179.30
2014,Regina,v812683,8,170.30
2015,Regina,v812683,8,161.80
1983,Calgary,v812682,9,121.60
1984,Calgary,v812682,9,121.10
1985,Calgary,v812682,9,129.20
1986,Calgary,v812682,9,133.30
1987,Calgary,v812682,9,147.00
1988,Calgary,v812682,9,148.80
1989,Calgary,v812682,9,171.50
1990,Calgary,v812682,9,188.40
1991,Calgary,v812682,9,171.30
1992,Calgary,v812682,9,167.20
1993,Calgary,v812682,9,193.70
1994,Calgary,v812682,9,199.70
1995,Calgary,v812682,9,189.00
1996,Calgary,v812682,9,157.80
1997,Calgary,v812682,9,164.10
1998,Calgary,v812682,9,178.10
1999,Calgary,v812682,9,195.50
2000,Calgary,v812682,9,208.10
2001,Calgary,v812682,9,192.50
2002,Calgary,v812682,9,191.60
2003,Calgary,v812682,9,168.00
2004,Calgary,v812682,9,165.10
2005,Calgary,v812682,9,175.10
2006,Calgary,v812682,9,174.20
2007,Calgary,v812682,9,178.40
2008,Calgary,v812682,9,185.20
2009,Calgary,v812682,9,156.40
2010,Calgary,v812682,9,165.50
2011,Calgary,v812682,9,176.20
2012,Calgary,v812682,9,181.40
2013,Calgary,v812682,9,181.30
2014,Calgary,v812682,9,178.00
2015,Calgary,v812682,9,168.10
1983,Edmonton,v812681,10,122.60
1984,Edmonton,v812681,10,122.50
1985,Edmonton,v812681,10,129.90
1986,Edmonton,v812681,10,131.70
1987,Edmonton,v812681,10,145.40
1988,Edmonton,v812681,10,146.20
1989,Edmonton,v812681,10,169.70
1990,Edmonton,v812681,10,185.20
1991,Edmonton,v812681,10,173.30
1992,Edmonton,v812681,10,169.90
1993,Edmonton,v812681,10,186.30
1994,Edmonton,v812681,10,190.40
1995,Edmonton,v812681,10,188.40
1996,Edmonton,v812681,10,151.90
1997,Edmonton,v812681,10,161.10
1998,Edmonton,v812681,10,173.40
1999,Edmonton,v812681,10,194.30
2000,Edmonton,v812681,10,204.60
2001,Edmonton,v812681,10,183.50
2002,Edmonton,v812681,10,185.00
2003,Edmonton,v812681,10,159.10
2004,Edmonton,v812681,10,161.70
2005,Edmonton,v812681,10,169.40
2006,Edmonton,v812681,10,170.70
2007,Edmonton,v812681,10,171.50
2008,Edmonton,v812681,10,180.50
2009,Edmonton,v812681,10,154.20
2010,Edmonton,v812681,10,160.80
2011,Edmonton,v812681,10,170.00
2012,Edmonton,v812681,10,177.80
2013,Edmonton,v812681,10,181.90
2014,Edmonton,v812681,10,180.10
2015,Edmonton,v812681,10,167.70
1983,Vancouver,v812680,11,132.90
1984,Vancouver,v812680,11,140.30
1985,Vancouver,v812680,11,144.90
1986,Vancouver,v812680,11,153.60
1987,Vancouver,v812680,11,176.40
1988,Vancouver,v812680,11,182.80
1989,Vancouver,v812680,11,211.60
1990,Vancouver,v812680,11,230.20
1991,Vancouver,v812680,11,192.50
1992,Vancouver,v812680,11,189.40
1993,Vancouver,v812680,11,211.90
1994,Vancouver,v812680,11,216.80
1995,Vancouver,v812680,11,212.30
1996,Vancouver,v812680,11,183.20
1997,Vancouver,v812680,11,185.00
1998,Vancouver,v812680,11,192.60
1999,Vancouver,v812680,11,205.10
2000,Vancouver,v812680,11,218.20
2001,Vancouver,v812680,11,208.30
2002,Vancouver,v812680,11,216.90
2003,Vancouver,v812680,11,191.40
2004,Vancouver,v812680,11,198.80
2005,Vancouver,v812680,11,208.30
2006,Vancouver,v812680,11,207.00
2007,Vancouver,v812680,11,204.20
2008,Vancouver,v812680,11,209.10
2009,Vancouver,v812680,11,182.60
2010,Vancouver,v812680,11,199.20
2011,Vancouver,v812680,11,206.70
2012,Vancouver,v812680,11,207.30
2013,Vancouver,v812680,11,204.40
2014,Vancouver,v812680,11,201.20
2015,Vancouver,v812680,11,197.80
